pokey/wax_talon	2	Record your Talon sessions
Polyterative/Poly-Talon-Scripts	0	Voice Coding. My custom talon voice coding configs for Mac, Windows, and Linux. WIP. This is what I run daily
qbit/mytalon	0	My talon customizations
rinOfTheStars/rin-personal	0	Personal talon scripts.
rntz/emacs-talon	1	Some emacs talon integration stuff
rntz/indexed_clipboard	2	An indexed clipboard for talon.
rntz/quick_macro	7	Quick macros for talon
rntz/talon_emacs_draft	1	Using emacs as a draft window for talon.
rntz/talon-keeper	0	Implementation of the 'keeper' command for talon voice
rokubop/talon-hub-roku	0	A collection of my Talon repos for UI, mouse control, input mapping, parrot, and gaming you may find useful.
rokubop/talon-input-map	0	Combos, modes, throttling, debounce and conditions for Talon input sources.
rokubop/talon-mouse-rig	0	All purpose mouse rig for Talon with movement and scrolling. Prefers OS-specific relative movement to be compatible with games.
rokubop/talon-pack	0	Catalogs your Talon repo's contributions and dependencies, generates version validation, and updates your README with badges.
rokubop/talon-parrot-tester	11	Visualization tool to help you analyze your parrot integration with Talon
rokubop/talon-stable-input	0	Bind keys or pedals to Talon actions that won't be interrupted by voice commands. Uses pynput.
rokubop/talon-ui-elements	14	An experimental library for building stateful voice activated canvas UIs using a HTML/CSS/React-inspired syntax for python, for use with Talon.
splondike/talon_mystuff	3	My person Talon customisations
splondike/talon_telector	10	Text selection overlay for Talon
splondike/talon_ui_helper	48	Talon package aimed at making it easier to build new mouse controlling voice commands
talonhub/community	824	Voice command set for Talon, community-supported.
tbaecker/talon_personal	0	My configuration for Talon Voice
voqal/voqal	190	Voice native AI agent for the builders of tomorrow 
wolfmanstout/talon-gaze-ocr	71	Talon scripts to enable advanced cursor control using eye tracking and OCR.
